Vote,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_government_satisfaction,Weighted_education_rank,Number_of_valued_Kneset_members,Avg_education_importance
Khakis,Healthcare,32.72639681,287.3973156,12.286,3714,308.5494533,346.4204636,10,304.6697045
Oranges,Military,171.6568884,356.935385,2.284,9716,489.4977567,179.1384213,6,392.7023169
Purples,Healthcare,25.24793409,359.8856911,5.086,4914,420.8401161,164.8336887,12,464.3371602
Turquoises,Healthcare,88.83655693,52.94114118,8.077,7923,5.910487947,817.5679282,11,26.25824757
Yellows,Social,359.8265714,265.3402321,8.148,5852,352.0070159,299.3367707,10,387.5928282
Khakis,Environment,193.5461885,49.7767267,10.573,5427,445.919433,484.844898,14,328.3932647
Blues,Education,386.3242086,197.8641525,6.673,7327,359.0011338,429.2680848,14,229.6218611
Khakis,Education,89.81422503,181.8808011,8.758,7242,275.9537528,625.6535765,12,10.05525598
Whites,Education,188.5241906,284.4478623,2.589,7411,298.209778,296.876024,10,530.876461
Khakis,Environment,328.6187468,150.060783,6.405,9595,464.0360223,401.8120699,14,305.829775
Greens,Healthcare,70.41165726,350.360993,0.403,9597,526.4767234,219.4843964,11,658.3684027
Khakis,Financial,212.5887964,127.1174694,12.795,3205,137.2977045,644.325963,8,119.787415
Purples,Environment,240.8303334,475.9477849,0.412,9588,416.4890832,87.11475605,,493.9668878
Khakis,Social,34.34796436,45.52639783,10.782,5218,54.35552227,783.3913829,13,43.31980205
Purples,Education,17.38255737,408.544531,6.488,3512,430.6196324,120.6987122,14,462.7113836
Violets,Social,30.71107375,67.88081508,11.32,4680,33.64989535,636.6714602,9,466.2192632
Violets,Environment,168.129895,69.87975766,8.27,7730,289.5016447,499.7490349,11,357.0450512
Khakis,Social,67.77900741,5.849738877,8.445,7555,85.99793434,776.0606718,9,67.92596069
Khakis,Social,29.17489517,177.7269115,6.291,9709,299.2856705,429.1132468,13,300.0200188
Purples,Healthcare,88.9043673,412.4142928,2.517,7483,486.2307476,89.51253091,10,487.6855871
Khakis,Education,159.7023035,28.32042724,12.375,3625,370.4505531,592.4957606,12,165.6550467
Khakis,Financial,55.05081127,4.496422026,6.218,9782,72.0917345,782.5882115,9,71.26345005
Purples,Education,97.44604524,394.4931741,0.853,9147,496.7123796,138.1660318,15,589.1479309
Browns,Social,144.3678387,502.487418,3.126,6874,429.065239,80.36767873,6,462.303366
Khakis,Social,35.65609616,248.5258146,7.123,8877,477.5063446,403.309485,11,185.4951348
Yellows,Education,317.6740248,282.7105316,6.391,7609,304.4567072,354.9064218,13,298.7372966
Oranges,Other,26.14635007,427.0207791,4.03,7970,448.9466368,301.4111432,11,212.0481556
Whites,Social,53.37887016,300.5173259,4.968,5032,294.0717299,288.4062798,7,531.2792665
Violets,Environment,263.9581508,38.18750997,12.572,3428,50.1509259,691.3569339,15,250.3213172
Khakis,Education,143.6653431,69.57607215,9.405,6595,133.4150069,727.596776,16,42.01773662
Blues,Environment,359.2610178,594.5823055,7.579,6421,615.7582414,510.7471138,14,988.3818498
Turquoises,Financial,45.04663352,23.97294645,11.23,4770,15.91859819,836.8596908,11,10.71727724
Khakis,Education,176.0604269,277.4113738,10.852,5148,388.0312296,449.8631082,12,125.4414411
Whites,Financial,52.74476903,283.0639288,2.938,7062,313.0917722,287.5272186,7,525.9991701
Reds,Other,75.2706631,566.9718432,2.185,9815,509.2851373,107.4435557,8,583.5025515
Purples,Healthcare,93.41793704,480.1085848,1.867,8133,414.1102623,96.62237682,11,460.4630772
Purples,Education,63.27597268,316.407511,0.851,9149,346.3594001,240.5394664,14,523.4008321
Purples,Healthcare,57.36939792,351.4353871,5.13,4870,457.0898362,158.8171234,14,536.1960264
Purples,Healthcare,70.04660453,406.9674663,0.675,9325,412.3486812,137.7903714,11,448.5375821
Blues,Financial,356.2306887,233.4893085,7.859,6141,271.9115133,351.7427297,9,474.1032545
Oranges,Military,129.4413956,343.9768819,6.959,5041,306.5572767,290.1376688,8,649.7216292
Greys,Military,159.8808143,518.507198,8.405,3595,676.9398549,178.8803902,8,481.3461702
Pinks,Healthcare,77.05666751,729.3335032,2.832,7168,681.521244,293.9167328,9,470.9616089
Purples,Environment,93.69653872,434.2459662,5.505,4495,359.5467611,158.2735575,12,531.619831
Browns,Financial,332.4816845,321.5566952,2.253,7747,384.0873848,232.9159427,6,405.2788885
Blues,Environment,526.6984734,128.461052,8.683,5317,108.1294399,629.811722,13,175.8718165
Reds,Foreign_Affairs,62.47330354,503.3316627,2.347,9653,374.2056521,130.8579648,6,535.895529
Khakis,Financial,23.98567034,5.129226815,7.688,8312,110.2689189,743.3736634,11,105.2633718
Greens,Healthcare,154.839394,304.4207439,1.364,8636,500.6631417,,10,626.4381817
Oranges,Other,195.1429737,649.7759363,2.653,9347,261.9018812,281.2893375,8,499.6177057
Khakis,Environment,203.4700321,92.12514565,8.299,7701,168.7471013,624.3735293,11,162.728708
Browns,Healthcare,212.3706803,318.8227891,0.337,9663,378.2586977,231.7917198,7,422.0174704
Khakis,Financial,243.8356337,28.20297294,12.38,3620,27.44912088,827.2052219,11,11.7667453
Purples,Education,62.53255354,446.3131846,0.48,9520,427.0866298,91.04272977,14,509.4944694
Purples,Education,180.7615564,379.2224268,5.849,4151,398.8812624,161.392636,14,535.1477123
Khakis,Education,,26.9039483,7.221,8779,99.00094545,773.3481786,12,37.99643992
Purples,Education,177.5457606,464.9671856,3.5,6500,437.8993737,81.4439778,12,460.6383988
Turquoises,Social,123.6865074,431.1352185,8.5,7500,3.839890125,516.0342497,12,376.0075239
Purples,Healthcare,126.1371013,378.768397,6.683,3317,451.8528298,131.9882781,14,479.859146
Purples,Environment,275.8717513,426.1589111,4.269,5731,,226.5018687,15,480.4855409
Greys,Military,72.307239,566.7320826,3.619,8381,497.7679806,87.92721078,,442.7894971
Purples,Social,228.8705235,456.7541411,0.191,9809,497.6204636,48.5866727,10,522.0181348
Purples,Healthcare,121.2789476,506.3400463,,3406,342.0128702,158.219126,10,505.7586856
