Vote,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_government_satisfaction,Weighted_education_rank,Number_of_valued_Kneset_members,Avg_education_importance
Browns,Financial,186.527478593731,324.292673238765,0.856999999999999,9143.0,375.66703637226897,245.484312479435,5.0,381.971202024815
Browns,Healthcare,157.884402432507,295.891947793498,6.151,3849.0,384.361210775661,257.168905284441,8.0,394.627236458398
Khakis,Financial,154.02201287501498,789.567781490688,8.732999999999999,7267.0,677.266329410486,481.51901170214103,10.0,841.449420867134
Blues,Education,479.426126569025,,6.002000000000001,7998.0,980.38702365011,484.716153323126,15.0,539.26505590789
Purples,Financial,93.01110690086371,423.71622144805605,4.227,5773.0,435.230226901899,107.526847972676,12.0,539.340623502906
Yellows,Education,-17.744995964850897,549.326463725457,7.615,6385.0,507.467438335642,127.854622598202,15.0,382.280240143071
Blues,Social,470.005927618838,791.6881178971381,10.349,3651.0,380.14721754007,330.394404305498,9.0,598.558687139302
Greens,Environment,96.4795939280958,305.057481629417,6.001,3999.0,,253.555341918546,15.0,660.677534312119
Purples,Financial,186.39910810443402,427.398470068364,6.151,3849.0,485.941620143165,77.4136613223944,10.0,477.103389623677
Purples,Education,273.173545330059,447.554197202615,3.1630000000000003,6837.0,468.552030463799,86.43597133004879,16.0,438.91284815317596
Khakis,Healthcare,32.726396808005,287.39731555744703,12.286,3714.0,308.549453271553,346.420463631832,10.0,304.669704479586
Violets,Education,93.7172403316322,992.552695836377,11.537,4463.0,955.115373318758,798.6292808299901,15.0,933.6710354546091
Blues,Education,386.32420857186094,197.864152491093,6.672999999999999,7327.0,359.001133823767,429.26808475789903,14.0,229.62186112999902
Purples,Social,118.96824906131799,394.602751997885,2.03,7970.0,337.600669964374,218.342168901357,13.0,399.048623396661
Purples,Education,275.000438893467,407.59909887782095,1.7590000000000001,8241.0,447.888294809289,111.285677349816,16.0,533.629535190559
Turquoises,Financial,228.26045388181703,754.858659231104,7.318,8682.0,981.298698824821,641.747358800945,9.0,839.4676698191561
Purples,Environment,220.59350306823399,421.97585499418295,3.885,6115.0,378.970444828533,145.774841568913,13.0,522.6800353956929
Greys,Military,84.9325210672405,648.049605067832,4.827,7173.0,426.734381440654,165.9495754383,5.0,515.897331994002
Turquoises,Financial,154.582711578683,647.252966533415,12.720999999999998,3279.0,882.4907466631951,475.26033281673404,12.0,740.602943691913
Purples,Financial,163.909164913815,495.019639548201,3.252,6748.0,464.20471804974096,39.2719846581534,12.0,484.631767217345
Yellows,Financial,320.305848960986,598.127501443858,5.126,8874.0,558.654483184128,184.878637540215,11.0,645.2954083290821
Purples,Environment,306.151969887342,427.11428322352094,1.232,8768.0,406.975952761504,144.501516811293,13.0,583.1558012775611
Purples,Environment,65.8355142499102,395.73723247651395,0.315,9685.0,451.802176819822,131.963206988854,12.0,564.965630511978
Khakis,Social,24.0072873614102,2.30869387818078,6.444,,8.58086324296892,854.6290881191969,11.0,8.87733294096326
Whites,Environment,33.9577676580855,540.040957486293,0.646000000000001,9354.0,382.20728306124494,131.348983852312,9.0,457.879302963957
Khakis,Education,116.71718080411999,22.1541557844716,8.586,7414.0,346.893495880067,,16.0,70.36030199803821
Purples,Healthcare,105.017974285394,405.989344309376,2.5780000000000003,7422.0,394.17344685868596,145.561965587805,13.0,533.926731240025
Yellows,Environment,313.424283801263,257.41765054317904,8.271,5729.0,506.90344890092103,315.610898072464,14.0,298.216985086979
Purples,Financial,78.7295957593072,428.75551440189497,0.449,9551.0,519.632447180182,93.38474419566309,9.0,557.092037431399
Pinks,Social,69.5378411166956,711.617628316604,5.829,4171.0,655.614487539401,262.73760347421796,6.0,505.75837936233705
Purples,Healthcare,292.36831939070703,399.68415476958296,5.555,4445.0,413.19814726951597,147.094904208934,12.0,436.446240060104
Purples,Financial,233.72881693971803,465.070498042265,2.505,7495.0,470.394609087522,68.2719611601495,11.0,550.641005149552
Khakis,Financial,102.584408060987,28.2124024165956,7.821000000000001,8179.0,93.4936561388895,796.3196562346401,8.0,3.71978674058843
Khakis,Social,192.14727733050702,256.733070960247,8.024,7976.0,340.861559147015,364.13007728397906,12.0,280.712811452002
Pinks,Environment,262.290230765684,320.618643629455,6.875,3125.0,352.097300044159,234.800012101005,10.0,532.835438402254
Purples,Education,115.031877288538,420.26185772266996,1.4969999999999999,8503.0,431.425270026513,129.50450686788602,15.0,424.430479859152
Khakis,Education,321.59304569203897,787.6833286898101,9.128,6872.0,776.6245071543381,586.253247009127,13.0,929.429917523587
Yellows,Healthcare,20.6032356945307,299.959006210264,8.35,5650.0,327.439238960265,282.112379911344,14.0,598.963525868096
Violets,Education,45.5916666112346,954.4674484559489,6.725,9275.0,992.898226075771,807.775319206725,13.0,950.5681339651351
Browns,Financial,70.1409754690909,325.759023629821,5.691,4309.0,,246.39166380666,6.0,383.847026736876
Reds,Foreign_Affairs,73.48556103957459,465.428503152674,4.436,7564.0,477.851980367777,61.21951121821999,9.0,545.410410545422
Browns,Social,156.617017682747,318.4829276153,5.586,4414.0,382.178459980716,233.32653794806197,7.0,412.75946784206
Violets,Education,164.913372666999,42.5352066329196,9.154,6846.0,186.77336583613098,561.7107255994999,16.0,409.81143235694606
Yellows,Social,350.265870415175,271.32912339366,7.252000000000001,6748.0,320.8354657141,301.86873829784804,13.0,582.063603428922
Pinks,Education,148.804769808152,365.44814519127897,1.4269999999999998,8573.0,416.49099426623496,169.256240347686,9.0,559.747127341192
Purples,Financial,201.96070743660198,352.001325353359,6.5520000000000005,3448.0,396.450896282284,186.00690138943,11.0,455.586682328467
Greys,Military,149.894296255707,565.991055167485,8.378,3622.0,654.572434813505,180.84455005270198,9.0,433.237028844794
