Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Violets,3.0,199.659595245454,38092.2265696727,Healthcare,66.5531984151514,No,572.357564726757,No,Female,By_16:00,0.248855619225651,0.6498640903737399,778.408554149792,5.159763891715559,15.541182132437802,12.683,3317.0,66.52326141484079,810.7192125319721,7345.014072331509,87184.84278654889,Yes,327593.181899944,28.473131414229304,322.580011432602,93.9290776150301,4505.88141770166,80.0,30-45,4.0,1060.7358126131098,11.0,Foot_or_bicycle,Public_Sector,547.705529723316,1.0,Yes
Purples,9.0,621.252440833709,80917.1402948655,Social,207.08414694457,No,390.74521873721494,Yes,Female,After_16:00,0.32126359059475396,0.0576378460973501,754.4446112588049,1.3602510094642601,45.8279110956937,1.136,8864.0,94.8661740170792,402.196467769863,4711.84512291188,49088.646795233304,Yes,152681.825965994,20.0548365181535,156.079628841685,32.9074799781665,43100.928062704705,70.0,30-45,0.0,624.317878847285,13.0,Public_or_other,Public_Sector,446.53307196137297,0.0,No
Khakis,4.0,77.63066763456429,25166.517552327598,Social,25.876889211521398,Yes,972.5480271841369,No,Female,After_16:00,0.768769714981318,0.5184972616843879,916.768753202632,9.48495412478223,39.305328368209295,12.712,3288.0,31.217317562550303,969.292334630154,11664.064941101698,116772.513774145,Yes,945849.6651797559,31.133460049120004,824.9158878120869,45.105877402238505,705.490284476876,,30-45,0.0,1463.0050895725599,12.0,Motorcycle_or_truck,Student_or_Unemployed,986.774371374012,1.0,Yes
Yellows,6.0,1303.4568399469301,106572.45523591801,Environment,434.485613315644,Yes,245.284198071928,Yes,Male,After_16:00,0.623670225031674,0.0757464522030205,876.417198451236,4.99090313445777,9.07961742486805,5.882000000000001,8118.0,41.874514496885205,300.517967947976,3053.87791661524,41459.7623970735,Maybe,60164.33782378901,17.3354540738908,332.343923273208,34.630129509605496,189222.233791587,90.0,Below_30,2.0,583.005321264993,12.0,Car,Hightech,576.021460609243,0.0,No
Khakis,3.0,244.76997855569303,1290.59474641428,Education,81.58999285189779,Yes,15.8180519608203,Yes,Male,By_16:00,0.695365670137107,0.367041175952181,899.069733219221,1.24459136044607,38.6534203775227,,6240.0,8.29300279729068,142.233877209947,442.648274028096,14215.917930501299,Maybe,250.21076783521198,11.9261845202037,716.40256240194,83.6269774939865,6748.51692642463,100.0,45_and_up,2.0,185.424922301809,16.0,Car,Public_Sector,111.66525523355101,0.0,No
Khakis,3.0,104.34859949174299,6813.75172966964,Healthcare,34.7828664972477,Yes,195.89391030232602,Yes,Male,By_16:00,0.901171991834417,0.028481824323534997,,2.21076139016077,12.6893196487799,11.116,4884.0,17.197848949581402,365.267757326365,2689.47461767599,34084.6386894526,Yes,38374.4240935359,19.111979419368502,546.280893295012,6.11822151113302,1254.63066826261,80.0,Below_30,3.0,381.65692975882797,12.0,Car,Public_Sector,66.6531142697351,2.0,Yes
Yellows,8.0,857.346568875767,166332.62637538402,Healthcare,285.782189625256,Yes,582.025865899813,No,Female,By_16:00,0.6768365039024499,0.17463505943305802,294.296819251031,9.29955687373877,76.8329556798562,7.4270000000000005,6573.0,17.902571870945398,308.328084997997,6436.9148289941195,43062.7964860814,Yes,338754.108576427,17.559273475801803,245.87735773412004,91.8999529676512,81967.2420966309,80.0,30-45,1.0,520.526340608718,11.0,Foot_or_bicycle,Student_or_Unemployed,369.656955041079,,No
Turquoises,5.0,160.168717913894,709.716741004859,Healthcare,53.38957263796479,Yes,13.293171417899401,Yes,Male,After_16:00,0.260158578166738,0.709582555806264,940.561327850446,3.57282384298742,70.96351333893841,10.17,5830.0,12.9684828454629,0.798909511655655,134.529533202306,617.018504278917,Yes,176.708406345658,0.893817381603007,849.7439981345599,66.4604088291526,2913.83603910248,80.0,30-45,1.0,9.15967981624035,11.0,Foot_or_bicycle,Hightech,14.2226882279206,0.0,Yes
Browns,8.0,531.17891209053,54131.13316749821,Healthcare,177.05963736351,No,305.722602697785,Yes,Female,By_16:00,0.751904879929498,0.566340309334919,49.5455029886216,3.25789464870468,43.985357414931094,6.104,3896.0,38.3535175584257,381.875220948826,3820.9764688755,44621.519762605596,No,93466.3098003074,19.5416278991497,,28.388086589984603,31537.174820661203,80.0,30-45,2.0,567.177738272357,7.0,Public_or_other,Student_or_Unemployed,385.83555829727095,0.0,No
Khakis,2.0,200.167440670584,50609.8571574006,Healthcare,66.72248022352801,Yes,758.5128278782761,No,Male,After_16:00,0.9212819733656942,0.341788606019691,547.811419004574,2.4202418932691203,21.0282607702538,6.33,9670.0,85.3509826818481,682.133023743518,8949.39432626979,83837.4286826656,Yes,575341.710055898,26.117676461422,380.621698331673,11.126199667342,4528.61184740262,80.0,Below_30,2.0,1045.68554131468,13.0,Car,Hightech,711.8290743153709,0.0,Yes
