Vote,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_government_satisfaction,Weighted_education_rank,Number_of_valued_Kneset_members,Avg_education_importance
Greens,4,0.1740460316421303,0.3044006786059759,0.07862143241787832,0.8538571428571429,0.4816155434331335,0.27051479602276096,0.45454545454545453,0.645851030499136
Turquoises,0,0.1459719134676635,0.4780198608031317,0.8535271943995689,0.272,0.41743196877007255,0.320041307295599,0.9090909090909091,0.22624488877726043
Purples,4,0.5253715241313025,0.36608871874938215,0.050157704438803026,0.9067142857142857,0.3635786356296341,0.20770982635692695,0.5454545454545454,0.4977119053956278
Purples,0,0.08797909529626802,0.3394724489332597,0.392260943149473,0.2714285714285714,0.3672438931096074,0.2391453351626199,0.7272727272727273,0.4971660696576242
Purples,7,0.3822886223809941,0.4223350401634883,0.03792599430725444,0.9294285714285714,0.3641620412257834,0.16863424616614392,0.6363636363636364,0.4787322927331153
Browns,2,0.27844174671141614,0.29730205764203765,0.5218093699515346,0.030857142857142857,0.3314041374857394,0.33648763760539935,0.09090909090909091,0.3552757418356379
Purples,7,0.09792671188347457,0.3720144214429469,0.26994384183398723,0.49857142857142855,0.4369363012690332,0.17796349255738522,0.45454545454545453,0.41534736733781813
Browns,1,0.36941083565954025,0.5008020608618012,0.24940380029233022,0.5367142857142857,0.4571938129245506,0.05514913204805202,0.36363636363636365,0.4560352053148039
Purples,1,0.08272385057253354,0.5132931247266523,0.32402492499423036,0.39814285714285713,0.4354252591820051,0.10689045562621675,0.5454545454545454,0.5822332356012567
Oranges,6,0.6210170577066623,0.3961189176929211,0.39818447572890225,0.5461428571428572,0.44365929471594845,0.2409762728415325,0.2727272727272727,0.3150018579054782
Pinks,0,0.3674608836142206,0.2625765867407763,0.48903761827832903,0.09171428571428572,0.3886054759633573,0.33529863268354837,0.36363636363636365,0.3548061403849214
Whites,7,0.17005590316451802,0.4227041491592875,0.31848603738749137,0.4084285714285714,0.2901516536319196,0.3197668803132233,0.2727272727272727,0.5339722952145873
Browns,2,0.6343602413832408,0.49138556296292824,0.4482652511731671,0.38,0.46258183449474544,0.046562916993305344,0.09090909090909091,0.4619437488218201
Greens,1,0.18589784013803576,0.30503858689049795,0.46157396722824834,0.1427142857142857,0.43837600535962085,0.2809492563051195,0.9090909090909091,0.6606785237093636
Reds,3,0.20842489623982943,0.6402221786492976,0.35156550503884915,0.6327142857142857,0.4707243819713013,0.19966584073374893,0.09090909090909091,0.6161257339697694
Turquoises,0,0.5053999761556603,0.43440593216307327,0.8279867682129395,0.31942857142857145,0.21901198568759467,0.597481213208427,0.8181818181818182,0.06403471005800185
Purples,7,0.2546679003082041,0.3901286411184353,0.4686514347257481,0.12957142857142856,0.4155030061858374,0.1486604414838641,0.7272727272727273,0.5255648630943586
Blues,2,0.8241115855947289,0.07077973880386258,0.5675051927071313,0.5174285714285715,0.06449680661015833,0.8134207485411956,0.2727272727272727,0.8540112431658279
Khakis,4,0.3620032430651921,0.019221608901782768,0.7179013770290021,0.5238571428571429,0.02139279662492358,0.9683871353726634,0.45454545454545453,0.007354577696672116
Khakis,7,0.26051878704532083,0.9867577467578289,0.7386722055542734,0.48528571428571426,0.8649204089789065,0.8887912635497047,0.45454545454545453,0.9733708305150433
Pinks,1,0.2349202792890139,0.6893436777380143,0.4898069082237094,0.09028571428571429,0.638447188538113,0.25883066799141147,0.45454545454545453,0.4876154212415535
